T,TM,tm,H,P,VV,V,VM
28.7,33.5,21.8,60,0,2.4,8.9,16.5
,,,,,,,
,,,,,,,
,,,,,,,
27.3,33,19.8,63,0,2.3,8.7,18.3
27.6,33.6,20.4,59,0,2.1,8.3,18.3
28.2,33.3,20.4,48,0,3.1,12.2,24.1
,,,,,,,
,,,,,,,
,,,,,,,
29.3,35.3,22.9,46,0,2.6,7.2,18.3
27.3,34,19.4,54,0,2.6,7.6,18.3
26.9,33.3,17.6,56,0,2.4,8.3,16.5
,,,,,,,
,,,,,,,
,,,,,,,
29,33.1,24.2,72,0,2.3,8.5,16.5
28.8,33.7,24.1,71,0,2.3,10.2,16.5
29.4,34,24.4,67,0,2.4,8,18.3
,,,,,,,
,,,,,,,
,,,,,,,
29.2,34.5,23.8,62,0,2.7,6.7,16.5
28.7,32.5,25.3,70,0,2.3,8.3,18.3
28.7,34,22.8,54,0,2.7,10.2,20.6
,,,,,,,
,,,,,,,
,,,,,,,
26.7,32.3,20,52,0,2.6,9.6,18.3
25.3,32.3,18,53,0,2.6,7.6,14.8
26.1,32.5,17.3,45,0,2.6,7.2,18.3
,,,,,,,
,,,,,,,
,,,,,,,
25.7,33.1,19,41,0,2.7,11.3,20.6
25.4,32.5,17.4,44,0,2.7,6.7,16.5
25.6,32.4,15.7,47,0,2.4,6.3,14.8
,,,,,,,
,,,,,,,
,,,,,,,
24.8,31,16.7,62,0,1.8,6.5,16.5
24.4,30,19,68,0,2.1,7.2,16.5
23.9,29.3,18.3,54,0,1.9,8,16.5
,,,,,,,
,,,,,,,
,,,,,,,
26.3,32.5,20,56,0,2.3,8.3,16.5
26.4,33,20,58,0,2.3,9.3,18.3
25,30.2,21.7,60,0,2.3,9.3,20.6
,,,,,,,
,,,,,,,
,,,,,,,
24.4,28.3,20,58,0,2.4,9.3,20.6
25.4,30.5,19.2,59,0,2.1,8.7,16.5
26.7,33,21.7,55,0,2.3,8.3,20.6
26.7,33.4,20.2,57,0,2.1,9.6,20.6
,,,,,,,
,,,,,,,
,,,,,,,
26.3,33.6,17,48,0,2.3,7.6,14.8
26.5,33.8,20.6,61,0,2.1,9.8,18.3
24.1,28.5,18.9,67,0,1.9,8.7,22.2
,,,,,,,
,,,,,,,
,,,,,,,
23.7,27.5,20,71,0,2.1,9.4,18.3
23.9,28.8,19.9,70,0,1.8,9.4,20.6
23.9,29.8,18.6,52,0,2.6,8.3,20.6
,,,,,,,
,,,,,,,
,,,,,,,
24.3,30.3,20,55,0,2.7,9.3,18.3
24.9,30,19,70,-,1.9,6.7,16.5
24.4,28.5,21.8,76,-,1.9,7.2,13
,,,,,,,
,,,,,,,
,,,,,,,
26.6,32,20.2,63,0,2.1,7.8,18.3
27.8,34.8,22.4,54,0,2.6,8.3,20.6
28.5,34.3,21.6,41,0,2.7,12.2,24.1
,,,,,,,
,,,,,,,
,,,,,,,
27.7,34.4,20.6,39,0,2.1,8.7,18.3
27.4,34.7,20.6,40,0,2.4,7.4,22.2
27.7,33.9,21.6,39,0,2.6,7.2,18.3
27.4,34.3,20,43,0,2.6,7.8,22.2
,,,,,,,
,,,,,,,
,,,,,,,
25.3,31,18.3,60,0,2.9,10,20.6
24.1,29,19.8,67,0,3.1,10.7,22.2
23.2,28.1,16.9,52,0,3.4,10,24.1
,,,,,,,
,,,,,,,
,,,,,,,
24.4,28,18.8,61,0,3.2,10.9,22.2
24.1,28.1,19.5,58,0,4,9.8,22.2
21.6,26.3,17.5,71,-,3.1,8,18.3
,,,,,,,
,,,,,,,
,,,,,,,
27.4,35,20.2,43,0,3.4,8.5,20.6
25.7,31.5,21.6,65,0,2.9,8.7,18.3
25.2,28.6,22,69,0,3.9,10.4,20.6
,,,,,,,
,,,,,,,
,,,,,,,
27.1,31,23,73,0,1.9,10,22.2
26.7,30.3,22.8,72,0,2.9,10.4,18.3
26.1,30,24,60,0,4.7,14.3,24.1
,,,,,,,
24.3,28.7,18.4,41,0,4,11.5,24.1
25.3,31.8,17.6,35,0,3.9,11.3,22.2
26.8,33.5,18.6,37,0,3.5,10.2,24.1
,,,,,,,
,,,,,,,
,,,,,,,
26.2,29.8,23,74,0,3.4,9.8,22.2
26.4,30.6,22.8,73,0,2.4,8,22.2
26.9,32.8,22,62,0,3.5,8.9,22.2
,,,,,,,
,,,,,,,
,,,,,,,
29.6,35.5,24,48,0,3.1,9.3,22.2
30.1,34,24.2,49,0,3.1,8,20.6
30.1,35,24,48,0,3.9,8.1,22.2
,,,,,,,
,,,,,,,
,,,,,,,
30.5,37,24.4,35,0,3.5,8.7,24.1
28.6,34,24.9,51,0,3.9,9.6,20.6
29.5,35.5,22,30,0,4.3,9.1,18.3
,,,,,,,
,,,,,,,
,,,,,,,
28.4,33.4,23.6,55,0,4.8,10.7,20.6
28.6,33,23,63,0,4,10.7,22.2
28.3,32.7,25,65,0,3.9,10.7,25.9
,,,,,,,
,,,,,,,
,,,,,,,
